prize_id,prize_name,prize_alias,prize_institution,prize_year,prize_genre,person_id,first_name,last_name,gender,uk_residence,ethnicity_macro,highest_degree,degree_field_cat,degree_institution,degree_field,role_simple,person_role,book_id,book_title
8,Booker Prize,Booker Prize,Booker Foundation,2020,Fiction,0188,Brandon,Taylor,man,FALSE,Non-White American,Doctorate,unknown,"University of Wisconsin, Madison",unknown,Shortlisted,shortlisted,00323,Real Life
8,Booker Prize,Booker Prize,Booker Foundation,2021,Fiction,0178,Anuk,Arudpragasam,man,FALSE,Asian,Doctorate,Philosophy and Theology,Columbia University,Philosophy,Shortlisted,shortlisted,00006,A Passage North
3,Costa First Novel Award,Costa First Novel Award,Costa,2021,Fiction,0035,Caleb,Azumah Nelson,man,TRUE,African,Bachelors,Maths and Sciences,Coventry University,Sports Science,Winner,winner,00017,Open Water
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2021,Fiction,0304,Brit,Bennett,woman,FALSE,Non-White American,Masters,unknown,University of Michigan,unknown,Shortlisted,shortlisted,00373,The Vanishing Half
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2021,Fiction,0305,Susanna,Clarke,woman,TRUE,White British,Bachelors,Politics and Economics,University of Oxford,"Politics, Philosophy and Economics",Winner,winner,00372,Piranesi
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2021,Crime,0420,Ben,Creed,man,FALSE,White British,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00528,City of Ghosts
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2021,Non-Fiction,0599,Cal,Flyn,woman,TRUE,White British,Bachelors,Maths and Sciences,University of Oxford,Experimental Psychology,Shortlisted,shortlisted,00761,Islands of Abandonment: Life in the Post-Human Landscape
4,Costa Novel Award,Costa Novel Award,Costa,2021,Fiction,0036,Claire,Fuller,woman,TRUE,White British,Masters,Writing,University of Winchester,Creative Writing,Winner,winner,00110,Unsettled Ground
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2021,Fiction,0036,Claire,Fuller,woman,TRUE,White British,Masters,Writing,University of Winchester,Creative Writing,Shortlisted,shortlisted,00110,Unsettled Ground
8,Booker Prize,Booker Prize,Booker Foundation,2021,Fiction,0177,Damon,Galgut,man,FALSE,Jewish,Bachelors,Arts,University of Cape Town,Theatre,Winner,winner,00113,The Promise
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2021,Crime,0417,Elly,Griffiths,woman,TRUE,White British,Bachelors,Language and Literature,"King's College, London",English,Shortlisted,shortlisted,00529,The Postscript Murders
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2021,Fiction,0306,Yaa,Gyasi,woman,FALSE,Non-White American,Masters,Writing,University of Iowa,Creative Writing,Shortlisted,shortlisted,00374,Transcendent Kingdom
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2021,Non-Fiction,0600,Harald,Jähner,man,FALSE,Non-UK White,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00762,Aftermath: Life in the Fallout of the Third Reich 1945-1955
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2021,Fiction,0311,Tayari,Jones,woman,TRUE,Non-White American,Masters,Politics and Economics,Victoria University of Wellington,Political Science,Shortlisted,shortlisted,00381,An American Marriage
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2021,Non-Fiction,0598,Patrick Radden,Keefe,man,FALSE,Non-UK White,Juris Doctor,Law,Yale University,Law,Winner,winner,00760,Empire of Pain: The Secret History of the Sackler Dynasty
8,Booker Prize,Booker Prize,Booker Foundation,2021,Fiction,0179,Patricia,Lockwood,woman,FALSE,Non-UK White,none,none,none,none,Shortlisted,shortlisted,00180,No One Is Talking About This
